iter	Passed	Remaining
1525	207252	64375
1526	207383	64238
1527	207516	64102
1528	207652	63966
1529	207788	63830
1530	207913	63691
1531	208045	63554
1532	208185	63419
1533	208322	63284
1534	208457	63148
1535	208593	63012
1536	208728	62876
1537	208864	62740
1538	208995	62603
1539	209125	62466
1540	209261	62330
1541	209398	62194
1542	209535	62059
1543	209671	61923
1544	209805	61787
1545	209943	61652
1546	210078	61516
1547	210207	61378
1548	210368	61249
1549	210503	61113
1550	210638	60977
1551	210769	60840
1552	210902	60704
1553	211038	60568
1554	211177	60433
1555	211310	60296
1556	211447	60161
1557	211583	60025
1558	211718	59889
1559	211855	59754
1560	211987	59617
1561	212126	59482
1562	212263	59346
1563	212397	59210
1564	212540	59076
1565	212698	58947
1566	212847	58815
1567	213065	58701
1568	213202	58566
1569	213338	58430
1570	213473	58294
1571	213608	58158
1572	213749	58023
1573	213888	57888
1574	214023	57752
1575	214159	57616
1576	214296	57480
1577	214434	57345
1578	214568	57209
1579	214706	57073
1580	214855	56941
1581	214993	56806
1582	215131	56670
1583	215266	56534
1584	215404	56399
1585	215541	56263
1586	215671	56126
1587	215804	55989
1588	215944	55854
1589	216078	55718
1590	216214	55582
1591	216346	55445
1592	216483	55309
1593	216624	55175
1594	216771	55042
1595	216907	54906
1596	217048	54771
1597	217178	54634
1598	217316	54499
1599	217452	54363
1600	217587	54226
1601	217725	54091
1602	217859	53955
1603	217999	53820
1604	218138	53685
1605	218274	53549
1606	218408	53412
1607	218539	53275
1608	218685	53142
1609	218824	53007
1610	218961	52871
1611	219095	52735
1612	219222	52597
1613	219361	52461
1614	219499	52326
1615	219635	52190
1616	219773	52055
1617	219910	51919
1618	220051	51784
1619	220190	51649
1620	220324	51513
1621	220458	51376
1622	220593	51240
1623	220727	51104
1624	220869	50969
1625	221006	50834
1626	221137	50697
1627	221273	50561
1628	221342	50410
1629	221477	50273
1630	221612	50137
1631	221751	50002
1632	221903	49870
1633	222053	49737
1634	222193	49602
1635	222364	49474
1636	222498	49338
1637	222634	49202
1638	222771	49066
1639	222907	48930
1640	223049	48796
1641	223186	48660
1642	223317	48523
1643	223454	48387
1644	223590	48252
1645	223732	48117
1646	223873	47982
1647	224021	47849
